00後	línglínghòu
御宇	yùyǔ
御座	yùzuò
御所	Yùsuǒ
御札	yùzhá
御林軍	yùlínjūn
御殿場	Yùdiàn场
御準	yùzhǔn
御用	yùyòng
御神木	yùshénmù
御筆	yùbǐ
御膳	yùshàn
御膳房	yùshànfáng
御花園	yùhuāyuán
御覽	yùlǎn
御道	yùdào
御醫	yùyī
御題	yùtí
徨	huáng
復仇主義	fùchóuzhǔyì
復仇	fùchóu
復來	fùlái
復信	fùxìn
復信	fùxìn
復健	fùjiàn
復出	fùchū
復刊	fùkān
復原	fùyuán
復古	fùgǔ
復古	fùgǔ
復合	fùhé
復合	fùhé
復命	fùmìng
復員	fùyuán
復員	fùyuán
復回	fùhuí
復國	fùguó
復	fù
復婚	fùhūn
復婚	fùhūn
復審	fùshěn
復州	Fùzhōu
復工	fùgōng
復旦	fùdàn
復旦	fùdàn
復查	fùchá
復歸	fùguī
復活	fùhuó
復活	fùhuó
復活節	Fùhuójié
復活節島	Fùhuójié Dǎo
復發	fùfā
復職	fùzhí
復興	fùxīng
復興	fùxīng
復蘇	fùsū
復蘇	fùsū
復議	fùyì
復辟	fùbì
復還	fùhuán
循例	xúnlì
循序	xúnxù
循序漸進	xúnxùjiànjìn
循	xún
循環	xúnhuán
循環	xúnhuán
循環	xúnhuán
循環換氣	xúnhuán huànqì
循環系統	xúnhuán xìtǒng
循著	xúnzhe
循證醫學	xúnzhèng yīxué
徭役	yáoyì
微不足道	微不zúdào
微信	微xìn
微信	微xìn
微凹黃檀	微'āo huángtán
微分	微fēn
微分方程	微fēn fāngchéng
微創	微chuāng
微博客	微bókè
微博	微bó
微型國家	微xíng guójiā
微型	微xíng
微型計算機	微xíng jìsuànjī
微塑膠	微sùjiāo
微塵	微chén
微妙	微miào
微小	微xiǎo
微弱	微ruò
微	微
微微	微微
微微	微微
微恙	微yàng
微整形	微zhěngxíng
微整	微zhěng
微機	微jī
微波	微bō
微波烤箱	微bō kǎoxiāng
微波爐	微bōlú
微生	微shēng
微生物學	微shēngwùxué
微生物	微shēngwù
微積分	微jīfēn
微笑	微xiào
微笑	微xiào
微笑服務	微xiào fúwù
微米	微mǐ
微粒體	wèilìtǐ
微細	微xì
微胖	微pàng
微胖界	微pàngjiè
微臣	微chén
微薄	微bó
微處理器	微chǔlǐqì
微血管充填	wēixuèguǎn chōngtián,wēixuěguǎn chōngtián,wéixiěguǎn chōngtián
微血管	wēixuèguǎn,wēixuěguǎn,wéixiěguǎn
微表情	微biǎoqíng
微觀	微guān
微觀經濟學	微guān jīngjìxué
微言	微yán
微詞	微cí
微調	微tiáo
微調	微tiáo
微貸	微dài
微購	微gòu
微軟	Wēiruǎn,Wéiruǎn
微辭	微cí
微量元素	微liàng yuánsù
微量	微liàng
微露	微lù
微面	微miàn
微音器	微yīnqì
微風	微fēng
徯	xī,xí
徵候	zhēnghòu
徵兆	zhēngzhào
徵兵	zhēngbīng
徵兵	zhēngbīng
徵募	zhēngmù
徵召	zhēngzhào
徵引	zhēngyǐn
徵	zhēng
徵	zhǐ
徵才	zhēngcái
徵收	zhēngshōu
徵文	zhēngwén
徵求	zhēngqiú
徵用	zhēngyòng
徵發	zhēngfā
徵稅	zhēngshuì
徵聘	zhēngpìn
徵詢	zhēngxún
徵調	zhēngdiào
徵象	zhēngxiàng
徵購	zhēnggòu
徵集	zhēngjí
德乙	Déyǐ
德克薩斯	Dékèsàsī
德古斯加巴	Dégǔsījiābā
德國人	Déguórén
德國	Déguó
德國碎肉香腸	Déguó suìròu xiāngcháng
德國馬克	Déguó mǎkè
德士	déshì
德宏傣族景頗族自治州	Déhóng Dǎizú Jǐngpōzú Zìzhìzhōu
德宏	Déhóng
德島	Dédǎo
德川	Déchuān
德州	Dézhōu
德州	Dézhōu
德律風	délǜfēng
德	dé
德性	déxìng
德性	déxing
德意志	Déyìzhì
德意志民主共和國	Déyìzhì Mínzhǔ Gònghéguó
德意志聯邦共和國	Déyìzhì Liánbāng Gònghéguó
德慶	Déqìng
德才兼備	décáijiānbèi
德拉克馬	délākèmǎ
德拉瓦	Délāwǎ
德政	dézhèng
德文	déwén
德文	Déwén
德昂族	dé'ángzú
德梅因	Déméiyīn
德比	débǐ
德波辣	Débōlà
德涅斯特河沿岸	Dénièsītè Hé Yán'àn
德澤	dézé
德爾塔	dé'ěrtǎ
德班	Débān
德瑜	Déyú
德甲	Déjiǎ
德累斯頓	Délěisīdùn
德育	déyù
德藝雙馨	déyìshuāngxīn
德蘭修女	Délán xiūnǚ
德行	dé行
德訓篇	Déxùnpiān
德語	Déyǔ
德謀	Démóu
德謨克利特	Démókèlìtè
德謨克拉西	démókèlāxī
德里	Délǐ
德陽	Déyáng
德雲	Déyún
德雷克海峽	Déléikè Hǎixiá
德頓語	Dédùnyǔ
德高望重	dégāowàngzhòng
德魯伊	délǔyī
德黑蘭	Déhēilán
徹夜	chèyè
徹底	chèdǐ
徹	chè
徹消	chèxiāo
徹頭徹尾	chètóu-chèwěi
徼	jiào
徽劇	Huījù
徽劇	Huījù
徽州	Huīzhōu
徽章	huīzhāng
徽號	huīhào
徽語	huīyǔ
忂	jù
忂	qú
心上人	xīnshàngrén
心上	xīnshàng
心下	xīnxià
心不在焉	xīn不zàiyān
心中	xīnzhōng
心亂	xīnluàn
心事	xīnshì
心儀	xīnyí
心力	xīnlì
心力衰竭	xīnlì shuāijié
心動	xīndòng
心包	xīnbāo
心包炎	xīnbāoyán
心包絡	xīnbāoluò
心口	xīnkǒu
心地	xīndì
心坎	xīnkǎn
心塞	xīnsāi,xīnsè
心境	xīnjìng
心如刀割	xīnrúdāogē
心如鹿撞	xīnrúlùzhuàng
心子	xīnzi
心學	xīnxué
心室	xīn室
心宿二	Xīnxiù'èr
心宿	Xīnxiù
心寒	xīnhán
心實	xīnshí
心寬體胖	xīn kuān tǐ pán
心底	xīndǐ
心弦	xīnxián
心律不整	xīnlǜ 不zhěng
心律不正	xīnlǜ 不zhèng
心律不齊	xīnlǜ 不qí
心律失常	xīnlǜ shīcháng
心律	xīnlǜ
心得	xīndé
心	xīn
心志	xīnzhì
心思	xīnsī
心思思	xīnsīsī
心急如焚	xīnjí rú fén
心急	xīnjí
心怯	xīn怯
心恙	xīnyàng
心悸	xīnjì
心悸	xīnjì
心情	xīnqíng
心想事成	xīnxiǎngshìchéng
心想	xīnxiǎng
心意	xīnyì
心愛	xīn'ài
心態	xīntài
心慌	xīnhuāng
心慌	xīnhuāng
心懷叵測	xīnhuáipǒcè
心懷	xīnhuái
心懷	xīnhuái
心房	xīnfáng
心扉	xīnfēi
心搏	xīnbó
心搏驟停	xīnbó 骤tíng
心智	xīnzhì
心服口服	xīnfúkǒufú
心服	xīnfú
心材	xīncái
心機	xīnjī
心水	xīnshuǐ
心涼	xīnliáng
心滿意足	xīnmǎnyìzú
心潮	xīncháo
心火	xīnhuǒ
心灰	xīnhuī
心灰意冷	xīnhuīyìlěng
心照不宣	xīnzhào不xuān
心照	xīnzhào
心煩	xīnfán
心煩意亂	xīnfányìluàn
心狠	xīnhěn
心猿意馬	xīnyuán-yìmǎ
心率	xīnlǜ
心理健康	xīnlǐ jiànkāng
心理學家	xīnlǐxuéjiā
心理學	xīnlǐxué
心理年齡	xīnlǐ niánlíng
心理	xīnlǐ
心理	xīnlǐ
心理戰	xīnlǐzhàn
心理治療	xīnlǐ zhìliáo
心理測評	xīnlǐ cèpíng
心理疾病	xīnlǐ jíbìng
心理病	xīnlǐbìng
心理療法	xīnlǐ liáofǎ
心理衛生	xīnlǐ wèishēng
心理語言學	xīnlǐ yǔyánxué
心理醫生	xīnlǐ yīshēng
心理防禦機制	xīnlǐ fángyù jīzhì
心瓣	xīnbàn
心甘	xīngān
心甘情願	xīngānqíngyuàn
心生一計	xīnshēng一jì
心田	xīntián
心疑	xīnyí
心疼	xīnténg
心病	xīnbìng
心痛	xīntòng
心痛	xīntòng
心痛	xīntòng
心皮	xīnpí
心目	xīnmù
心眼兒	xīnyǎnr
心眼	xīnyǎn
心知肚明	xīnzhīdùmíng
心硬	xīnyìng
心碎	xīnsuì
心神	xīnshén
心神恍惚	xīnshénhuǎnghū
心窩	xīnwō
心竅	xīnqiào
心算	xīnsuàn
心結	xīnjié
心絞痛	xīnjiǎotòng
心經	Xīnjīng
心緒	xīnxù
心聲	xīnshēng
心肌	xīnjī
心肌梗塞	xīnjī gěngsè
心肌梗死	xīnjī gěngsǐ
心肌炎	xīnjīyán
心肌病	xīnjībìng
心肌缺血	xīnjī quē血
心肝寶貝	xīngān bǎobèi
心肝	xīngān
心肺復蘇	xīnfèi fùsū
心肺復蘇術	xīnfèi fùsūshù
心肺	xīnfèi
心肺	xīnfèi
心胸	xīnxiōng
心胸狹窄	xīnxiōng xiázhǎi
心腸	xīncháng
心腹之交	xīnfù zhī jiāo
心腹之患	xīnfù zhī huàn
心腹事	xīnfùshì
心腹	xīnfù
心臟停搏	xīnzàng tíngbó
心臟	xīnzàng
心臟病學	xīnzàngbìngxué
心臟病	xīnzàngbìng
心臟衰竭	xīnzàng shuāijié
心臟驟停	xīnzàng 骤tíng
心虛	xīnxū
心血	xīn血
心血管	xīn血guǎn
心血管	xīn血guǎn
心血管疾病	xīn血guǎn jíbìng
心術	xīnshù
心衣	xīnyī
心衰	xīnshuāi
心衰竭	xīnshuāijié
心裁	xīncái
心裡	xīnli
心裡美蘿蔔	xīnlǐměi luóbo
心裡話	xīnlihuà
心計	xīnjì
心說	xīnshuō
心跡	xīn迹
心路	xīnlù
心跳	xīntiào
心身	xīnshēn
心軟	xīnruǎn
心通口服液	xīntōng kǒufú液
心酸	xīnsuān
心酸	xīnsuān
心電圖	xīndiàntú
心靈學	xīnlíngxué
心靈	xīnlíng
心靈感應	xīnlíng gǎnyìng
心靈雞湯	xīnlíng jītāng
心靜自然涼	xīn jìng zìrán liáng
心音	xīnyīn
心頭	xīntóu
心願	xīnyuàn
心驚膽戰	xīnjīngdǎnzhàn
心驚膽跳	xīnjīngdǎntiào
心高氣傲	xīngāoqì'ào
忄	xīn
必修	bìxiū
必修課	bìxiūkè
必備	bìbèi
必勝	bìshèng
必定	bìdìng
必將	bìjiāng
必得	bìděi,bìdé
必	bì
必思答	bìsīdá
必應	Bìyìng
必死	bìsǐ
必殺	bìshā
必殺技	bìshājì
必然	bìrán
必然	bìrán
必然	bìrán
必然王國	bìrán wángguó
必要	bìyào
必要	bìyào
必要性	bìyàoxìng
必要條件	bìyào tiáojiàn
必需品	bìxūpǐn
必需	bìxū
必需	bìxū
必需氨基酸	bìxū ānjīsuān
必需脂肪酸	bìxū zhīfángsuān
必須	bìxū
忉利天	dāolìtiān
忌口	jìkǒu
忌嘴	jìzuǐ
忌妒	jìdù
忌恨	jìhèn
忌憚	jìdàn
忌日	jìrì
忌諱	jìhuì
忌諱	jìhuì
忌辰	jìchén
忍不住	rěn不zhù
忍住	rěnzhù
忍冬藤	rěndōngténg
忍受	rěnshòu
忍心	rěnxīn
忍	rěn
忍氣	rěnqì
忍氣	rěnqì
忍痛	rěntòng
忍者	rěnzhě
忍耐	rěnnài
忍術	rěnshù
忍讓	rěnràng
忍辱偷生	rěn辱tōushēng
忍辱	rěn辱
忐	kěng
忐	tǎn
忐忑不安	tǎntè不'ān
忐忑	kěngdǎo
忐忑	tǎntè
忑	tè
忒	tè
忒	tuī,tè,tēi
忖度	cǔn度
忖	cǔn
志丹	Zhìdān
志向	zhìxiàng
志堅	zhìjiān
志士	zhìshì
志布志	Zhìbùzhì
志得意滿	zhìdéyìmǎn
志摩	Zhìmó
志木	Zhìmù
志氣	zhìqì
志留	Zhìliú
志留紀	Zhìliújì
志賀桿菌病	zhìhè gǎn菌bìng
志趣	zhìqù
志願	zhìyuàn
志願	zhìyuàn
志願者	zhìyuànzhě
忘光光	wàngguāngguāng
忘卻	wàngquè
忘年交	wàngniánjiāo
忘年	wàngnián
忘形	wàngxíng
忘	wàng
忘性	wàngxing
忘恩負義	wàng'ēnfùyì
忘情	wàngqíng
忘憂草	wàngyōucǎo
忘懷	wànghuái
忘我	wàngwǒ
忘掉	wàngdiào
忘本	wàngběn
忘記	wàngjì
忙亂	mángluàn
忙人	mángrén
忙叨	mángdāo
忙	máng
忙忙匆匆	mángmángcōngcōng
忙忙	mángmáng
忙於	mángyú
忙活	mánghuó
忙活	mánghuó
忙碌	mánglù
忙碌	mánglù
忚	xī
忝	
忝	tiǎn
忠信	zhōngxìn
忠厚	zhōnghòu
忠告	zhōnggào,zhōnggù
忠告	zhōnggào,zhōnggù
忠實	zhōngshí
忠心	zhōngxīn
忠心耿耿	zhōngxīn gěnggěng
忠	zhōng
忠忱	zhōngchén
忠恕	zhōngshù
忠於	zhōngyú
忠淸北道	Zhōngqīngběidào
忠淸南道	Zhōngqīngnándào
忠清北道	Zhōngqīngběi Dào
忠清南道	Zhōngqīngnán Dào
忠節	zhōngjié
忠節	zhōngjié
忠義	zhōngyì
忠臣	zhōngchén
忠言	zhōngyán
忠言逆耳	zhōngyánnì'ěr
忠誠	zhōngchéng
忠誠	zhōngchéng
忠貞	zhōngzhēn
忡	chōng
忡忡	chōngchōng
忤	wǔ
忤逆	wǔnì
快人	kuàirén
快件	kuàijiàn
快克	kuàikè
快取	kuàiqǔ
快報	kuàibào
快子	kuàizǐ
快	kuài
快意	kuàiyì
快感中心	kuàigǎn zhōngxīn
快感	kuàigǎn
快慢	kuàimàn
快捷	kuàijié
快捷	kuàijié
快板	kuàibǎn
快樂原則	kuàilè yuánzé
快樂	kuàilè
快樂	kuàilè
快活	kuàihuo
快班	kuàibān
快艇	kuàitǐng
快要	kuàiyào
快走	kuàizǒu
快走	kuàizǒu
快跑	kuàipǎo
快車道	kuàichēdào
快速公路	kuàisù gōnglù
快速	kuàisù
快速	kuàisù
快遞	kuàidì
快門	kuàimén
快閃	kuàishǎn
快餐店	kuàicāndiàn
快餐	kuàicān
快點兒	kuàidiǎnr
快點兒	kuàidiǎnr
快點	kuàidiǎn
快點	kuàidiǎn
忭	biàn
忮	zhì
忱	chén
念力	niànlì
念叨	niàndao
念咒	niànzhòu
念	niàn
念	niàn
念想	niànxiǎng
念想	niànxiǎng
念書	niànshū
念珠	niànzhū
念珠菌	niànzhū菌
念珠菌症	niànzhū菌zhèng
念白	niànbái
念經	niànjīng
念青唐古拉山	Niànqīngtánggǔlā Shān
念頭	niàntou
忸	niǔ
忸怩	niǔní
忻喜	xīnxǐ
忻州	Xīnzhōu
忻	xīn
忽冷忽熱	hūlěnghūrè
忽哨	hūshào
忽布	hūbù
忽律	hūlǜ
忽必烈	Hūbìliè
忽	hū
忽悠	hūyou
忽然	hūrán
忽然間	hūránjiān
忽略	hūlüè
忽而	hū'ér
忽見	hūjiàn
忽視兒童	hūshì értóng
忽視	hūshì
忽視	hūshì
忽雷	hūléi
怎地	zěnde
怎	zěn
怎樣	zěnyàng
怎麼了	zěnme le
怎麼	zěnme
怎麼樣	zěnmeyàng
怎麼樣	zěnmeyàng
怎麼著	zěnmezhe
怎麼辦	zěnmebàn
怏	yàng
怏怏不樂	yàngyàng不lè,yāngyāng不lè
怏怏	yàngyàng,yāngyāng
怒不可遏	nù不kě'è
怒叱	nùchì
怒吼	nùhǒu
怒	nù
怒恨	nùhèn
怒放	nùfàng
怒族	nùzú
怒氣填胸	nùqì tián xiōng
怒氣	nùqì
怒江傈僳族自治州	Nùjiāng Lìsùzú Zìzhìzhōu
怒江	Nùjiāng
怒潮	nùcháo
怒濤	nù涛
怒火	nùhuǒ
怒目咬牙	nùmù yǎoyá
怒目	nùmù
怒色	nùsè
怒號	nùháo
怒視	nùshì
怔忡	zhēngchōng
怔忡	zhēngchōng
怔	zhēng
怔	zhèng
怕事	pàshì
怕人	pàrén
怕	pà
怕生	pàshēng
怕癢	pàyǎng
怕羞	pàxiū
怕老婆	pàlǎopo
怖	bù
怗	tiē
怙	hù
怙恃	hùshì
怙恃	hùshì
怙惡不悛	hù'è-不quān
怚	jù
怛	dá
怛特羅	dátèluó
思來想去	sīláixiǎngqù
思前想後	sīqiánxiǎnghòu
思家	sījiā
思密達	sīmìdá
思密達	sīmìdá
思念	sīniàn
思念	sīniàn
思	sāi
思	sī,sì
思	sī
思想家	sīxiǎngjiā
思想庫	sīxiǎngkù
思想	sīxiǎng
思想	sīxiǎng
思想性	sīxiǎngxìng
思想意識	sīxiǎng yì識
思想準備	sīxiǎng zhǔnbèi
思想體系	sīxiǎng tǐxì
思慕	sīmù
思慮	sīlǜ
思明	Sīmíng
思春	sīchūn
思春期	sīchūn期
思潮	sīcháo
思索	sīsuǒ
思維	sīwéi
思維	sīwéi
思緒	sīxù
思考	sīkǎo
思考題	sīkǎotí
思茅	Sīmáo
思覺失調	sījuéshītiáo
思覺失調	sījuéshītiáo
思覺失調症	sījuéshītiáozhèng
思議	sīyì
思變	sībiàn
思路	sīlù
思辨	sībiàn
思辯	sībiàn
思過	sīguò
思量	sīliáng
怞	chóu
怞	yóu
怠工	dàigōng
怠	dài
怠惰	dàiduò
怠慢	dàimàn
怠慢	dàimàn
怡人	yírén
怡人	yírén
怡保	Yíbǎo
怡	yí
怡情	yíqíng
怡然	yírán
怡陶碧谷	Yítáobìgǔ
怤	fū
急事	jíshì
急令	jílìng
急件	jíjiàn
急促	jícù
急先鋒	jíxiānfēng
急切	jíqiè
急劇	jíjù
急務	jíwù
急尿	jíniào
急尿	jíniào
急待	jídài
急待	jídài
急忙	jímáng
急	jí
急急如律令	jí jí rú lǜ lìng
急性子	jíxìngzi
急性子	jíxìngzi
急性	jíxìng
急性胰腺炎	jíxìng yíxiànyán
急救包	jíjiùbāo
急救	jíjiù
急救	jíjiù
急救法	jíjiùfǎ
急救箱	jíjiùxiāng
急救藥箱	jíjiù yàoxiāng
急於	jíyú
急流勇退	jíliúyǒngtuì
急流	jíliú
急用	jíyòng
急症室	jízhèng室
急症	jízhèng
急腳遞	jíjiǎodì
急行	jíxíng
急襲	jíxí
急要	jíyào
急診室	jízhěn室
急診	jízhěn
急診	jízhěn
急變	jíbiàn
急躁	jízào
急轉彎	jízhuǎnwān
急迫	jípò
急速	jísù
急進	jíjìn
急進	jíjìn
急進派	jíjìnpài
急遽	jíjù
急難	jínàn
急難	jínàn
急需	jíxū
急需	jíxū
急驟	jí骤
怦	pēng
性交	xìngjiāo
性交	xìngjiāo
性交體位	xìngjiāo tǐwèi
性交高潮	xìngjiāogāocháo
性伙伴	xìnghuǒbàn
性伴侶	xìngbànlǚ
性伴	xìngbàn
性位向	xìngwèixiàng
性侵	xìngqīn
性侵	xìngqīn
性侵犯	xìngqīnfàn
性侵犯	xìngqīnfàn
性俱樂部	xìng jùlèbù
性傾向	xìngqīngxiàng
性價比	xìngjiàbǐ
性具	xìngjù
性別不安症	xìngbié 不'ānzhèng
性別	xìngbié
性別歧視	xìngbié qíshì
性別焦慮症	xìngbié jiāolǜzhèng
性別研究	xìngbié yán究
性別認同	xìngbié rèntóng
性別認同障礙	xìngbié rèntóng zhàng'ài
性力	xìnglì
性功能	xìnggōngnéng
性取向	xìngqǔxiàng
性受虐狂	xìngshòunüèkuáng
性向	xìngxiàng
性命	xìngmìng
性器官	xìngqìguān
性壓抑	xìngyāyì
性奴	xìngnú
性子	xìngzi
性學	xìngxué
性工作	xìnggōngzuò
性工作者	xìnggōngzuòzhě
性徵	xìngzhēng
性急	xìngjí
性	xìng
性情	xìngqíng
性愛	xìng'ài
性感帶	xìnggǎndài
性感	xìnggǎn
性感	xìnggǎn
性慾	xìngyù
性慾高潮	xìngyù gāocháo
性指向	xìngzhǐxiàng
性接觸	xìngjiēchù
性教育	xìngjiàoyù
性格不合	xìnggé 不hé
性格	xìnggé
性樂	xìnglè
性激素	xìngjīsù
性狀	xìngzhuàng
性玩具	xìngwánjù
性生活	xìngshēnghuó
性病學	xìngbìngxué
性病性淋巴肉芽腫	xìngbìng xìng línbā ròuyázhǒng
性病	xìngbìng
性癖	xìngpǐ
性發	xìngfā
性短訊	xìngduǎnxùn
性福	xìngfú
性能	xìngnéng
性腺	xìngxiàn
性行	xìngxíng
性行為	xìngxíngwéi
性衝動	xìngchōngdòng
性質	xìng質
性關係	xìngguānxi
性靈	xìnglíng
性靈	xìnglíng
性騷擾	xìngsāorǎo
性高潮	xìnggāocháo
怨天尤人	yuàntiān-yóurén
怨婦	yuànfù
怨	yuàn
怨恨	yuànhèn
怨恨	yuànhèn
怨懟	yuànduì
怨懟	yuànduì
怨望	yuànwàng
怨氣	yuànqì
怨聲載道	yuànshēngzàidào
怨艾	yuànyì
怨言	yuànyán
怩	ní
怪不得	guàibude
怪不得	guàibude
怪事	guàishì
怪人	guàirén
怪叔叔	guài叔shu
怪咖	guàikā
怪哉	guàizāi
怪哉	guàizāi
怪圈	guàiquān
怪	guài
怪怪	guàiguài
怪模怪樣	guài模guàiyàng
怪物	guàiwù
怪獸	guàishòu
怪異	guàiyì
怪異	guàiyì
怪病	guàibìng
怪癖	guàipǐ
怪裡怪氣	guàiliguàiqì,guàilǐguàiqì
怪訝	guàiyà
怪誕	guàidàn
怪談	guàitán
怫	bèi
怫	fèi
怫	fú
怭	bì
怯場	怯chǎng,,qiècháng,quècháng
怯子	qièzi
怯弱	怯ruò
怯	怯
怯懦	怯nuò
怵	chù
恂	xún
恃寵而驕	shì chǒng ér jiāo
恃	shì
恅	lǎo
恆久	héngjiǔ
恆例	hénglì
恆山	Héng Shān
恆常	héngcháng
恆常	héngcháng
恆心	héngxīn
恆	héng
恆星	héngxīng
恆星系	héngxīngxì
恆春半島	Héngchūn Bàndǎo
恆春	Héngchūn
恆河	Héng Hé
恆河沙	hénghéshā
恆河猴	hénghéhóu
恆河鱷	hénghé'è
恆溫器	héngwēnqì
恆溫	héngwēn
恆產	héngchǎn
恍如	huǎngrú
恍	huǎng
恍惚	huǎnghū
恍惚	huǎnghū
恍然大悟	huǎngrándàwù
恍然	huǎngrán
恍狂	huǎngkuáng
恎	dié
恐同症	kǒngtóngzhèng
恐嚇	kǒnghè
恐怕	kǒngpà
恐怕	kǒngpà
恐怖主義	kǒngbùzhǔyì
恐怖主義者	kǒngbùzhǔyìzhě
恐怖份子	kǒngbùfènzǐ
恐怖分子	kǒngbùfènzǐ
恐怖	kǒngbù
恐怖	kǒngbù
恐怖片	kǒngbùpiàn,kǒngbùpiān
恐怖症	kǒngbùzhèng
恐怖襲擊	kǒngbù xí击
恐怖電影	kǒngbù diànyǐng
恐	kǒng
恐慌	kǒnghuāng
恐慌	kǒnghuāng
恐慌	kǒnghuāng
恐懼	kǒngjù
恐懼症	kǒngjùzhèng
恐攻	kǒnggōng
恐水病	kǒngshuǐbìng
恐襲	kǒngxí
恐高	kǒnggāo
恐高症	kǒnggāozhèng
恐鳥	kǒngniǎo
恐龍妹	kǒnglóngmèi
恐龍	kǒnglóng
恓	xī
恓惶	xīhuáng
恕宥	shùyòu
恕	shù
恕罪	shùzuì
恕罪	shùzuì
恕道	shùdào
恗	hū
恙	yàng
恚	huì
恢復	huīfù
恢	huī
恢恢	huīhuī
恣	zì
恣意	zìyì
恣睢	zìsuī,cīsuī
恤	xù
恤衫	xùshān
恤髮	xù髮
恥笑	chǐxiào
恥	chǐ
恥辱	chǐ辱
恥骨	chǐgǔ
恧	nǜ
恨不得	hènbude
恨不相逢未嫁時	hèn 不 xiāngféng wèi jià shí
恨不能	hènbunéng
恨之入骨	hènzhīrùgǔ
恨嫁	hènjià
恨	hèn
恨惡	hènwù
恨意	hènyì
恨鐵不成鋼	hèn tiě 不 chéng gāng
恩人	ēnrén
恩典	ēndiǎn
恩准	ēnzhǔn
恩命	ēnmìng
恩寵	ēnchǒng
恩師	ēnshī
恩平	Ēnpíng
恩德	ēndé
恩怨	ēnyuàn
恩	ēn
恩情	ēnqíng
恩惠	ēnhuì
恩愛	ēn'ài
恩敦加語	Ēndūnjiāyǔ
恩施土家族苗族自治州	Ēnshī Tǔjiāzú Miáozú Zìzhìzhōu
恩施	Ēnshī
恩格斯	Ēngésī
恩梅開江	Ēnméikāi Jiāng
恩波利	Ēnbōlì
恩澤	ēnzé
恩田	ēntián
恩相	ēnxiàng
恩義	ēnyì
恩賈梅納	Ēnjiǎméinà
恩賜	ēn赐
恩賜	ēn赐
恩赦	ēnshè
恩顧	ēngù
恩養	ēnyǎng
恪守	kèshǒu
恪	kè
恫喝	dònghè
恫嚇	dònghè
恫	dòng
恬不知恥	tián不zhīchǐ
恬	tián
恬淡	tiándàn
恬然	tiánrán
恬謐	tiánmì
恬靜	tiánjìng
恭人	gōngrén
恭候	gōnghòu
恭喜	gōngxǐ
恭喜發財	gōngxǐ fācái
恭	gōng
恭敬	gōngjìng
恭祖	Gōngzǔ
恭維	gōngwéi
恭謁	gōngyè
恭賀	gōnghè
恭賀新禧	gōnghèxīnxǐ
息女	息nǚ
息子	息zǐ
息怒	息nù
息息相關	息息xiāngguān
息男	息nán
息票	息piào
息肉	息ròu
恰到好處	qiàdàohǎochù
恰好	qiàhǎo
恰如其分	qiàrúqífèn
恰如	qiàrú
恰巧	qiàqiǎo
恰	qià
恰恰	qiàqià
恰恰	qiàqià
恰朗哥	qiàlǎnggē
恰當	qiàdàng
恰纔	qiàcái
恿	yǒng
悃	kǔn
悄	悄
悄悄	悄悄
悄悄	悄悄
悄悄話	悄悄huà
悄然	qiǎorán
悅	yuè
悅目	yuèmù
悅耳	yuè'ěr
悉力	xīlì
悉尼	Xīní
悉尼歌劇院	Xīní Gējùyuàn
悉心	xīxīn
悉	xī
悉數	xīshù
悉數	xīshǔ
悉曇	xītán
悉曇	xītán
悉曇文字	xītán wénzì
悉皆	xījiē
悌	tì
悍	hàn
悍馬	hànmǎ
悒	yì
悒鬱寡歡	yìyùguǎhuān
悒鬱	yìyù
悔之晚矣	huǐ zhī wǎn yǐ
悔婚	huǐhūn
悔恨	huǐhèn
悔恨	huǐhèn
悔	huǐ
悔悟	huǐwù
悔悟	huǐwù
悔意	huǐyì
悔改	huǐgǎi
悔改	huǐgǎi
悔棋	huǐqí
悔疚	huǐjiù
悔罪	huǐzuì
悔過	huǐguò
悔過自新	huǐguòzìxīn
悖亂	bèiluàn
悖	bèi
悖論	bèilùn
悖謬	bèimiù
悘	yī
悘	yì
悚	sǒng
悛	quān
悟入	wùrù
悟性	wùxìng
悟	wù
悠久	yōujiǔ
悠哉	yōuzāi
悠哉悠哉	yōuzāiyōuzāi
悠	yōu
悠悠	yōuyōu
悠揚	yōuyáng
悠遠	yōuyuǎn
悠遠	yōuyuǎn
悠閒	yōuxián
患兒	huàn'ér
患	huàn
患有	huànyǒu
患病	huànbìng
患病率	huànbìnglǜ
患癌	huàn癌
患者	huànzhě
患難之交	huànnàn zhī jiāo
患難	huànnàn
患難	huànnàn
患難見真情	huànnàn jiàn zhēnqíng
悧	lì
您們	nínmen
您好	nínhǎo
您	nín
您貴姓	nín guìxìng
悲催	bēicuī
悲傷	bēishāng
悲切	bēiqiè
悲劇	bēijù
悲劇	bēijù
悲咽	bēiyè
悲哀	bēi'āi
悲哀	bēi'āi
悲喜	bēixǐ
悲嘆	bēitàn
悲壯	bēizhuàng
悲	bēi
悲悼	bēidào
悲情	bēiqíng
悲情	bēiqíng
悲慘	bēicǎn
悲憤	bēifèn
悲憤	bēifèn
悲摧	bēicuī
悲歌	bēigē
悲歌	bēigē
悲歡	bēihuān
悲歡歲月	bēihuān suìyuè
悲歡離合	bēihuān líhé
悲泣	bēiqì
悲涼	bēiliáng
悲痛	bēitòng
悲苦	bēikǔ
悲觀主義	bēiguānzhǔyì
悲觀	bēiguān
悲願	bēiyuàn
悲鳴	bēimíng
悴	cuì
悵	chàng
悵然	chàngrán
悶悶不樂	mènmèn不lè
悶悶	mènmèn
悶悶	mēnmēn
悶氣	mēnqì
悶氣	mēnqì
